model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
SeasonalNaive,conditional,common,global,12,341,341,341,313,1.0,32.88817891373802,55.841285813257876,159.64855208478036,0.5833286110953703,0.5496577856192807,0.8522917292561589,5.89776357827476,0.10460701535671786,313.0,direct,2,development
SeasonalNaive,conditional,common,mean_fold,12,341,341,341,313,1.0,31.391202165756763,42.538554546841326,149.31381895654619,0.8425266778105353,0.5378448330350524,0.7385022232329425,4.89383253453656,0.4982103127898088,26.083333333333332,direct,2,development
MovingAvg28,conditional,common,global,12,341,341,341,313,1.0,36.05830248322261,57.78150233936045,125.47779809213355,0.6395562235648369,0.6102633845407569,0.8349412008344291,-7.964306844498537,-0.14126072660101105,313.0,direct,2,development
MovingAvg28,conditional,common,mean_fold,12,341,341,341,313,1.0,34.61512958197701,43.393997865364554,119.05052699392706,0.7540274008713955,0.5980538400593772,0.7697249122606493,-7.9039105014802296,0.3507995835010576,26.083333333333332,direct,2,development
NeuralNet,conditional,model_specific,global,12,341,341,313,313,0.9178885630498533,18.9949138964327,32.5960679362039,51.12347774552656,0.3369075791683252,0.375151269156378,0.4914438040097928,-4.819171271765955,-0.08547631937795343,313.0,direct,2,development
NeuralNet,conditional,model_specific,mean_fold,12,341,341,313,313,0.9178885630498533,18.12773090899027,23.908405330449217,49.34400660100169,0.3640934439112972,0.3659758676525837,0.4462219279384567,-4.266445925672008,0.08839036189459286,26.083333333333332,direct,2,development
XGBoost,conditional,model_specific,global,12,341,341,341,341,1.0,16.759923206746056,29.755252987594364,53.728478877153144,0.30454725639456487,0.3571680607810086,0.48214504324750984,-5.111689263774503,-0.09288532659848159,341.0,direct,2,development
XGBoost,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,16.529146201944886,23.379705085948824,55.928225491146485,0.34460587123008074,0.3591908841712135,0.4727408048760413,-4.89252212841029,0.05120088817681006,28.416666666666668,direct,2,development
LightGBM,conditional,model_specific,global,12,341,341,341,341,1.0,17.239190423243905,31.705605998322373,46.8552343190302,0.31325609796046955,0.36114767183377366,0.4988002875478855,-7.658937135399961,-0.139171776786283,341.0,direct,2,development
LightGBM,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,16.920036037893908,23.601247339314558,47.1233780023382,0.3308514878477246,0.3604163967520233,0.4880905450972198,-7.424102708579386,-0.005559768637770268,28.416666666666668,direct,2,development
