model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
MovingAvg28,conditional,model_specific,global,12,341,341,341,341,1.0,21.306475247779595,34.4458558720674,100.7468875702624,0.47175560414861645,0.46398810585545114,0.6423386854418043,2.1762890607911642,0.048186128805258556,341.0,direct,1,development
MovingAvg28,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,21.08695680079764,27.077107865731616,98.0183110617373,0.5066734025026917,0.46301279397707024,0.5984391705337546,1.7888748591168724,0.19616832590632813,28.416666666666668,direct,1,development
NeuralNet,realized,common,global,12,347,347,347,344,1.0,17.622668243732612,30.136998396946293,51.128817171760545,0.32297271581481185,0.37711614019670914,0.5134228869860799,-3.5295132631741835,-0.06468580514288327,344.0,direct,2,development
NeuralNet,realized,common,mean_fold,12,347,347,347,344,1.0,17.338118967449574,23.324462615358232,50.766613073292945,0.3746475479772246,0.3769903912977082,0.4910377496322205,-3.4991428968337437,0.0866010673015587,28.666666666666668,direct,2,development
XGBoost,realized,common,global,12,347,347,347,344,1.0,14.199101272363995,25.1496587980773,34.618223022691055,0.2602286008360796,0.3174569682601884,0.41385793951720395,-6.593120869162471,-0.12083290245028716,344.0,direct,2,development
XGBoost,realized,common,mean_fold,12,347,347,347,344,1.0,13.945381392829214,18.615347940399,34.61708262875125,0.27171261781024447,0.31734358468540663,0.39893988875544933,-6.284604891774095,-0.017765881403529374,28.666666666666668,direct,2,development
LightGBM,realized,common,global,12,347,347,347,344,1.0,14.481076645643212,25.328100550619784,38.6288190643081,0.26539639670225174,0.32796423651357237,0.42384598013441466,-5.303406396230986,-0.09719615345250182,344.0,direct,2,development
LightGBM,realized,common,mean_fold,12,347,347,347,344,1.0,14.223915970958311,18.819912894817985,38.51076136644014,0.2859042622497808,0.32763042464088027,0.413610110328736,-5.069912609568349,0.008707419664344145,28.666666666666668,direct,2,development
DynamicRidge,realized,common,global,12,347,347,347,344,1.0,24.489074584551503,63.98592669679343,66.65534205831104,0.44881415328107177,0.40141883830051567,0.5834274914858261,7.394827489741147,0.13552587407943284,344.0,direct,2,development
DynamicRidge,realized,common,mean_fold,12,347,347,347,344,1.0,24.01165446674658,38.796230641785584,65.9664034135529,0.4093223651546764,0.40172199408843445,0.5560793397580818,7.327067431297016,0.14051551801142986,28.666666666666668,direct,2,development
SeasonalNaive,realized,common,global,12,347,347,344,344,0.9913544668587896,31.786821705426355,54.60718899961137,166.5197244870042,0.5825608240099449,0.5599431534178035,0.8879277209342932,6.410852713178295,0.11749245249511633,344.0,direct,2,development
SeasonalNaive,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,31.0979012345679,42.48713731345276,162.39319754393918,0.8421352322892349,0.5587896925359973,0.8028851261401592,5.974074074074074,0.5026133955605385,28.666666666666668,direct,2,development
MovingAvg28,realized,common,global,12,347,347,344,344,0.9913544668587896,34.56963554061001,55.97700777894513,129.38715294562755,0.6335617808188515,0.6161335259778744,0.8616235519871995,-7.274723717702738,-0.13332471810813756,344.0,direct,2,development
MovingAvg28,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,33.85104619056914,42.46783982777994,127.07626444544616,0.7447175333082506,0.6132540348778617,0.8076067617647246,-7.161226906703959,0.3425536373085099,28.666666666666668,direct,2,development
NeuralNet,realized,model_specific,global,12,347,347,347,347,1.0,17.551095628898864,30.025653586115332,58.765256038831104,0.32446617918102855,0.39114683635076264,0.5509317335244278,-3.4182139917810703,-0.06319234177666656,347.0,direct,2,development
NeuralNet,realized,model_specific,mean_fold,12,347,347,347,347,1.0,17.290057967817784,23.263975299723132,58.8060306577768,0.37709123989454824,0.39203270804557716,0.5279336279811143,-3.3503887006954476,0.08904475921888233,28.916666666666668,direct,2,development
XGBoost,realized,model_specific,global,12,347,347,347,347,1.0,14.176410058389823,25.064947109198002,44.32568869340387,0.2620785450325663,0.33200344978675544,0.47394115486443583,-6.436052237532668,-0.11898295825380052,347.0,direct,2,development
